FormFactor file for OLIGOMER created from: 02285nati.pdb
Contrasts:     Infinity
 0.0000000E+00  0.1247008E+07
 0.2500000E-02  0.1245791E+07
 0.5000000E-02  0.1242386E+07
 0.7500000E-02  0.1236811E+07
 0.1000000E-01  0.1229105E+07
 0.1250000E-01  0.1219324E+07
 0.1500000E-01  0.1207545E+07
 0.1750000E-01  0.1193480E+07
 0.2000000E-01  0.1177603E+07
 0.2250000E-01  0.1160040E+07
 0.2500000E-01  0.1140872E+07
 0.2750000E-01  0.1120284E+07
 0.3000000E-01  0.1098406E+07
 0.3250000E-01  0.1075176E+07
 0.3500000E-01  0.1050950E+07
 0.3750000E-01  0.1025877E+07
 0.4000000E-01  0.1000118E+07
 0.4250000E-01  0.9738215E+06
 0.4500000E-01  0.9471383E+06
 0.4750000E-01  0.9199127E+06
 0.5000000E-01  0.8926095E+06
 0.5250000E-01  0.8653577E+06
 0.5500000E-01  0.8382915E+06
 0.5750000E-01  0.8115243E+06
 0.6000000E-01  0.7851721E+06
 0.6250000E-01  0.7590737E+06
 0.6500000E-01  0.7335893E+06
 0.6750000E-01  0.7088044E+06
 0.7000000E-01  0.6847576E+06
 0.7250000E-01  0.6615247E+06
 0.7500000E-01  0.6391313E+06
 0.7750000E-01  0.6172315E+06
 0.8000000E-01  0.5962482E+06
 0.8250000E-01  0.5761867E+06
 0.8500000E-01  0.5570519E+06
 0.8750000E-01  0.5388183E+06
 0.9000000E-01  0.5214786E+06
 0.9250000E-01  0.5047436E+06
 0.9500000E-01  0.4888455E+06
 0.9750000E-01  0.4737466E+06
 0.1000000E+00  0.4593940E+06
 0.1025000E+00  0.4457462E+06
 0.1050000E+00  0.4327481E+06
 0.1075000E+00  0.4201259E+06
 0.1100000E+00  0.4080576E+06
 0.1125000E+00  0.3964870E+06
 0.1150000E+00  0.3853660E+06
 0.1175000E+00  0.3746405E+06
 0.1200000E+00  0.3642656E+06
 0.1225000E+00  0.3539973E+06
 0.1250000E+00  0.3439995E+06
 0.1275000E+00  0.3342376E+06
 0.1300000E+00  0.3246751E+06
 0.1325000E+00  0.3152858E+06
 0.1350000E+00  0.3060453E+06
 0.1375000E+00  0.2968556E+06
 0.1400000E+00  0.2877822E+06
 0.1425000E+00  0.2788125E+06
 0.1450000E+00  0.2699408E+06
 0.1475000E+00  0.2611616E+06
 0.1500000E+00  0.2524753E+06
 0.1525000E+00  0.2440711E+06
 0.1550000E+00  0.2357566E+06
 0.1575000E+00  0.2275387E+06
 0.1600000E+00  0.2194264E+06
 0.1625000E+00  0.2114293E+06
 0.1650000E+00  0.2035586E+06
 0.1675000E+00  0.1963013E+06
 0.1700000E+00  0.1891637E+06
 0.1725000E+00  0.1821575E+06
 0.1750000E+00  0.1752939E+06
 0.1775000E+00  0.1685842E+06
 0.1800000E+00  0.1620395E+06
 0.1825000E+00  0.1564061E+06
 0.1850000E+00  0.1509036E+06
 0.1875000E+00  0.1455396E+06
 0.1900000E+00  0.1403224E+06
 0.1925000E+00  0.1352566E+06
 0.1950000E+00  0.1303480E+06
 0.1975000E+00  0.1262376E+06
 0.2000000E+00  0.1222436E+06
 0.2025000E+00  0.1183689E+06
 0.2050000E+00  0.1146171E+06
 0.2075000E+00  0.1109874E+06
 0.2100000E+00  0.1074811E+06
 0.2125000E+00  0.1044544E+06
 0.2150000E+00  0.1015220E+06
 0.2175000E+00  0.9868148E+05
 0.2200000E+00  0.9593168E+05
 0.2225000E+00  0.9326910E+05
 0.2250000E+00  0.9069327E+05
 0.2275000E+00  0.8842618E+05
 0.2300000E+00  0.8622213E+05
 0.2325000E+00  0.8407861E+05
 0.2350000E+00  0.8199460E+05
 0.2375000E+00  0.7996269E+05
 0.2400000E+00  0.7798210E+05
 0.2425000E+00  0.7602905E+05
 0.2450000E+00  0.7412374E+05
 0.2475000E+00  0.7226668E+05
 0.2500000E+00  0.7045680E+05
 0.2525000E+00  0.6868920E+05
 0.2550000E+00  0.6696572E+05
 0.2575000E+00  0.6506030E+05
 0.2600000E+00  0.6321321E+05
 0.2625000E+00  0.6142411E+05
 0.2650000E+00  0.5969353E+05
 0.2675000E+00  0.5801886E+05
 0.2700000E+00  0.5640212E+05
 0.2725000E+00  0.5466954E+05
 0.2750000E+00  0.5300833E+05
 0.2775000E+00  0.5141530E+05
 0.2800000E+00  0.4989352E+05
 0.2825000E+00  0.4844157E+05
 0.2850000E+00  0.4705931E+05
 0.2875000E+00  0.4570159E+05
 0.2900000E+00  0.4441460E+05
 0.2925000E+00  0.4319860E+05
 0.2950000E+00  0.4205240E+05
 0.2975000E+00  0.4097447E+05
 0.3000000E+00  0.3996427E+05
 0.3025000E+00  0.3899733E+05
 0.3050000E+00  0.3809355E+05
 0.3075000E+00  0.3725035E+05
 0.3100000E+00  0.3646671E+05
 0.3125000E+00  0.3573973E+05
 0.3150000E+00  0.3506722E+05
 0.3175000E+00  0.3442185E+05
 0.3200000E+00  0.3382821E+05
 0.3225000E+00  0.3327932E+05
 0.3250000E+00  0.3277478E+05
 0.3275000E+00  0.3231110E+05
 0.3300000E+00  0.3188483E+05
 0.3325000E+00  0.3147200E+05
 0.3350000E+00  0.3109310E+05
 0.3375000E+00  0.3074513E+05
 0.3400000E+00  0.3042586E+05
 0.3425000E+00  0.3013316E+05
 0.3450000E+00  0.2986610E+05
 0.3475000E+00  0.2959361E+05
 0.3500000E+00  0.2934322E+05
 0.3525000E+00  0.2911371E+05
 0.3550000E+00  0.2890394E+05
 0.3575000E+00  0.2871190E+05
 0.3600000E+00  0.2853802E+05
 0.3625000E+00  0.2835729E+05
 0.3650000E+00  0.2819026E+05
 0.3675000E+00  0.2803823E+05
 0.3700000E+00  0.2790061E+05
 0.3725000E+00  0.2777569E+05
 0.3750000E+00  0.2766280E+05
 0.3775000E+00  0.2753822E+05
 0.3800000E+00  0.2742471E+05
 0.3825000E+00  0.2732077E+05
 0.3850000E+00  0.2722724E+05
 0.3875000E+00  0.2714176E+05
 0.3900000E+00  0.2706413E+05
 0.3925000E+00  0.2697263E+05
 0.3950000E+00  0.2688858E+05
 0.3975000E+00  0.2680972E+05
 0.4000000E+00  0.2673462E+05
 0.4025000E+00  0.2666353E+05
 0.4050000E+00  0.2659671E+05
 0.4075000E+00  0.2651905E+05
 0.4100000E+00  0.2644192E+05
 0.4125000E+00  0.2636530E+05
 0.4150000E+00  0.2628740E+05
 0.4175000E+00  0.2620936E+05
 0.4200000E+00  0.2612985E+05
 0.4225000E+00  0.2604373E+05
 0.4250000E+00  0.2595582E+05
 0.4275000E+00  0.2586576E+05
 0.4300000E+00  0.2577273E+05
 0.4325000E+00  0.2567661E+05
 0.4350000E+00  0.2557822E+05
 0.4375000E+00  0.2548301E+05
 0.4400000E+00  0.2538566E+05
 0.4425000E+00  0.2528474E+05
 0.4450000E+00  0.2518153E+05
 0.4475000E+00  0.2507604E+05
 0.4500000E+00  0.2496758E+05
 0.4525000E+00  0.2485986E+05
 0.4550000E+00  0.2475120E+05
 0.4575000E+00  0.2464058E+05
 0.4600000E+00  0.2452882E+05
 0.4625000E+00  0.2441599E+05
 0.4650000E+00  0.2430172E+05
 0.4675000E+00  0.2419682E+05
 0.4700000E+00  0.2409121E+05
 0.4725000E+00  0.2398565E+05
 0.4750000E+00  0.2387910E+05
 0.4775000E+00  0.2377243E+05
 0.4800000E+00  0.2366506E+05
 0.4825000E+00  0.2356319E+05
 0.4850000E+00  0.2346058E+05
 0.4875000E+00  0.2335707E+05
 0.4900000E+00  0.2325264E+05
 0.4925000E+00  0.2314668E+05
 0.4950000E+00  0.2303882E+05
 0.4975000E+00  0.2293899E+05
 0.5000000E+00  0.2283705E+05
