FormFactor file for OLIGOMER created from: 02285nati.pdb
Contrasts:     Infinity
 0.000000e+000  1.247008e+006
 2.500000e-002  1.245791e+006
 5.000000e-002  1.242386e+006
 7.500000e-002  1.236811e+006
 9.999999e-002  1.229105e+006
 1.250000e-001  1.219324e+006
 1.500000e-001  1.207545e+006
 1.750000e-001  1.193480e+006
 2.000000e-001  1.177603e+006
 2.250000e-001  1.160040e+006
 2.500000e-001  1.140872e+006
 2.750000e-001  1.120284e+006
 3.000000e-001  1.098406e+006
 3.250000e-001  1.075176e+006
 3.500000e-001  1.050950e+006
 3.750000e-001  1.025877e+006
 4.000000e-001  1.000118e+006
 4.250000e-001  9.738215e+005
 4.500000e-001  9.471383e+005
 4.750000e-001  9.199127e+005
 5.000000e-001  8.926095e+005
 5.250000e-001  8.653577e+005
 5.500000e-001  8.382915e+005
 5.750000e-001  8.115243e+005
 6.000000e-001  7.851721e+005
 6.250000e-001  7.590737e+005
 6.500000e-001  7.335893e+005
 6.750000e-001  7.088044e+005
 7.000000e-001  6.847576e+005
 7.250000e-001  6.615247e+005
 7.500000e-001  6.391313e+005
 7.750000e-001  6.172315e+005
 8.000000e-001  5.962482e+005
 8.250000e-001  5.761867e+005
 8.500000e-001  5.570519e+005
 8.750000e-001  5.388183e+005
 9.000000e-001  5.214786e+005
 9.250000e-001  5.047436e+005
 9.500000e-001  4.888455e+005
 9.750000e-001  4.737466e+005
 1.000000e+000  4.593940e+005
 1.025000e+000  4.457462e+005
 1.050000e+000  4.327481e+005
 1.075000e+000  4.201259e+005
 1.100000e+000  4.080576e+005
 1.125000e+000  3.964870e+005
 1.150000e+000  3.853660e+005
 1.175000e+000  3.746405e+005
 1.200000e+000  3.642656e+005
 1.225000e+000  3.539973e+005
 1.250000e+000  3.439995e+005
 1.275000e+000  3.342376e+005
 1.300000e+000  3.246751e+005
 1.325000e+000  3.152858e+005
 1.350000e+000  3.060453e+005
 1.375000e+000  2.968556e+005
 1.400000e+000  2.877822e+005
 1.425000e+000  2.788125e+005
 1.450000e+000  2.699408e+005
 1.475000e+000  2.611616e+005
 1.500000e+000  2.524753e+005
 1.525000e+000  2.440711e+005
 1.550000e+000  2.357566e+005
 1.575000e+000  2.275387e+005
 1.600000e+000  2.194264e+005
 1.625000e+000  2.114293e+005
 1.650000e+000  2.035586e+005
 1.675000e+000  1.963013e+005
 1.700000e+000  1.891637e+005
 1.725000e+000  1.821575e+005
 1.750000e+000  1.752939e+005
 1.775000e+000  1.685842e+005
 1.800000e+000  1.620395e+005
 1.825000e+000  1.564061e+005
 1.850000e+000  1.509036e+005
 1.875000e+000  1.455396e+005
 1.900000e+000  1.403224e+005
 1.925000e+000  1.352566e+005
 1.950000e+000  1.303480e+005
 1.975000e+000  1.262376e+005
 2.000000e+000  1.222436e+005
 2.025000e+000  1.183689e+005
 2.050000e+000  1.146171e+005
 2.075000e+000  1.109874e+005
 2.100000e+000  1.074811e+005
 2.125000e+000  1.044544e+005
 2.150000e+000  1.015220e+005
 2.175000e+000  9.868148e+004
 2.200000e+000  9.593168e+004
 2.225000e+000  9.326910e+004
 2.250000e+000  9.069327e+004
 2.275000e+000  8.842618e+004
 2.300000e+000  8.622213e+004
 2.325000e+000  8.407861e+004
 2.350000e+000  8.199460e+004
 2.375000e+000  7.996269e+004
 2.400000e+000  7.798210e+004
 2.425000e+000  7.602905e+004
 2.450000e+000  7.412374e+004
 2.475000e+000  7.226668e+004
 2.500000e+000  7.045680e+004
 2.525000e+000  6.868920e+004
 2.550000e+000  6.696572e+004
 2.575000e+000  6.506030e+004
 2.600000e+000  6.321321e+004
 2.625000e+000  6.142411e+004
 2.650000e+000  5.969353e+004
 2.675000e+000  5.801886e+004
 2.700000e+000  5.640212e+004
 2.725000e+000  5.466954e+004
 2.750000e+000  5.300833e+004
 2.775000e+000  5.141530e+004
 2.800000e+000  4.989352e+004
 2.825000e+000  4.844157e+004
 2.850000e+000  4.705931e+004
 2.875000e+000  4.570159e+004
 2.900000e+000  4.441460e+004
 2.925000e+000  4.319860e+004
 2.950000e+000  4.205240e+004
 2.975000e+000  4.097447e+004
 3.000000e+000  3.996427e+004
 3.025000e+000  3.899733e+004
 3.050000e+000  3.809355e+004
 3.075000e+000  3.725035e+004
 3.100000e+000  3.646671e+004
 3.125000e+000  3.573973e+004
 3.150000e+000  3.506722e+004
 3.175000e+000  3.442185e+004
 3.200000e+000  3.382821e+004
 3.225000e+000  3.327932e+004
 3.250000e+000  3.277478e+004
 3.275000e+000  3.231110e+004
 3.300000e+000  3.188483e+004
 3.325000e+000  3.147200e+004
 3.350000e+000  3.109310e+004
 3.375000e+000  3.074513e+004
 3.400000e+000  3.042586e+004
 3.425000e+000  3.013316e+004
 3.450000e+000  2.986610e+004
 3.475000e+000  2.959361e+004
 3.500000e+000  2.934322e+004
 3.525000e+000  2.911371e+004
 3.550000e+000  2.890394e+004
 3.575000e+000  2.871190e+004
 3.600000e+000  2.853802e+004
 3.625000e+000  2.835729e+004
 3.650000e+000  2.819026e+004
 3.675000e+000  2.803823e+004
 3.700000e+000  2.790061e+004
 3.725000e+000  2.777569e+004
 3.750000e+000  2.766280e+004
 3.775000e+000  2.753822e+004
 3.800000e+000  2.742471e+004
 3.825000e+000  2.732077e+004
 3.850000e+000  2.722724e+004
 3.875000e+000  2.714176e+004
 3.900000e+000  2.706413e+004
 3.925000e+000  2.697263e+004
 3.950000e+000  2.688858e+004
 3.975000e+000  2.680972e+004
 4.000000e+000  2.673462e+004
 4.025000e+000  2.666353e+004
 4.050000e+000  2.659671e+004
 4.075000e+000  2.651905e+004
 4.100000e+000  2.644192e+004
 4.125000e+000  2.636530e+004
 4.150000e+000  2.628740e+004
 4.175000e+000  2.620936e+004
 4.200000e+000  2.612985e+004
 4.225000e+000  2.604373e+004
 4.250000e+000  2.595582e+004
 4.275000e+000  2.586576e+004
 4.300000e+000  2.577273e+004
 4.325000e+000  2.567661e+004
 4.350000e+000  2.557822e+004
 4.375000e+000  2.548301e+004
 4.400000e+000  2.538566e+004
 4.425000e+000  2.528474e+004
 4.450000e+000  2.518153e+004
 4.475000e+000  2.507604e+004
 4.500000e+000  2.496758e+004
 4.525000e+000  2.485986e+004
 4.550000e+000  2.475120e+004
 4.575000e+000  2.464058e+004
 4.600000e+000  2.452882e+004
 4.625000e+000  2.441599e+004
 4.650000e+000  2.430172e+004
 4.675000e+000  2.419682e+004
 4.700000e+000  2.409121e+004
 4.725000e+000  2.398565e+004
 4.750000e+000  2.387910e+004
 4.775000e+000  2.377243e+004
 4.800000e+000  2.366506e+004
 4.825000e+000  2.356319e+004
 4.850000e+000  2.346058e+004
 4.875000e+000  2.335707e+004
 4.900000e+000  2.325264e+004
 4.925000e+000  2.314668e+004
 4.950000e+000  2.303882e+004
 4.975000e+000  2.293899e+004
 5.000000e+000  2.283705e+004
